Categoria,Debit,Credit
Casa - Renda Fontanelas,600.0,0.0
Casa - Renda Monte da Caparica,739.8399999999999,0.0
Casa - Supermercado Bilal,425.23999999999995,0.0
Casa - Luz,330.1,0.0
Casa - Internet (Net),66.53,0.0
Casa - Limpeza,272.0,0.0
Casa - Outros,745.62,0.0
Pessoal Bilal - Comer fora,338.25,0.0
Pessoal Bilal - Barbeiro,30.0,0.0
Créditos/Seguros Bilal - Wizink,312.51,0.0
Créditos/Seguros Bilal - Despesas Bancárias Bilal,64.49,0.0
Deslocações Bilal - Transportes,7.299999999999999,0.0
Deslocações Bilal - Carro,41.949999999999996,0.0
Deslocações Bilal - Combustível,72.72,0.0
Saúde - Farmácia/Prod.Nat./Exames,100.0,0.0
Saúde - Ginásio,71.8,0.0
Noah - Pensão de Alimentos,280.0,0.0
"Despesas Profissionais Bilal - Mensalidades (Replit, GPT, etc.)",755.35,0.0
Despesas Profissionais Bilal - Formação Bilal,30.0,0.0
Receitas - Sessões Bilal,0.0,131.0
Receitas - Soluções IA,0.0,3561.65
Receitas - Lifewave,0.0,498.94
Receitas - Rendas Fontanelas,0.0,991.6099999999999
Receitas - Renda Monte da Caparica,0.0,100.0
Pessoal Bilal - Transferências,95.0,0.0
Estorno/Devolução,0.0,48.56
TOTAL,5378.7,5331.76
